Reading no,start(keV),end(keV),net count,gross count,centroid,time (s),width (cm),comments,peak,net per unit time,,N_0,mu,,gross per unit time,N_0 gross,mu_gross,mu_m,mu_m_for_gross
,,,,,,,,,,,,,,,,,,,
22,590,740,2587,3482,652.764,154,6.1,,,16.7987013,,682.8995485,0.607385031,,22.61038961,792.2674944,0.583031468,0.06989471,0.067092229
,600,740,2298,3339,655.235,154,6.1,,,14.92207792,,684.1997743,0.627116502,,21.68181818,784.0575621,0.588198494,0.072165305,0.067686823
,630,700,1104,2520,661.249,154,6.1,,,7.168831169,,125.6060948,0.469411489,,16.36363636,780.214447,0.633526203,0.054017433,0.0729029
,,,,,,,,,,,,,,,,,,,
23,590,740,2053,3175,652.015,231,7.3,,,8.887445887,,682.899549,0.59475493,,13.74458874,792.267494,0.555377617,0.068441304,0.063909967
,600,740,1984,3025,654.854,231,7.3,,,8.588744589,,684.199774,0.599698673,,13.0952381,784.057562,0.560580347,0.069010204,0.064508671
,630,700,859,2248,661.421,231,7.3,,,3.718614719,,125.606095,0.482164649,,9.731601732,780.214447,0.60057442,0.055485,0.06911098
,,,,,,,,,,,,,,,,,,,
24,590,740,2419,3390,651.92,244,7.3,,656.96,9.913934426,,682.899549,0.579782101,,13.89344262,792.267494,0.553902031,0.066718309,0.063740165
,600,740,2258,3232,654.67,244,7.3,,656.96,9.254098361,,684.199774,0.589477578,,13.24590164,784.057562,0.559013286,0.067834014,0.064328341
,630,700,776,2431,660.404,244,7.3,,656.96,3.180327869,,125.606095,0.503584789,,9.963114754,780.214447,0.597353698,0.057949918,0.068740357
,,,,,,,,,,,,,,,,,,,
25,590,740,1860,3053,652.502,322,8.6,,659.98,5.776397516,,682.899549,0.554950089,,9.48136646,792.267494,0.514601582,0.06386077,0.059217673
,600,740,1884,2925,659.98,322,8.6,,659.98,5.850931677,,684.199774,0.553680493,,9.083850932,784.057562,0.518370607,0.063714671,0.059651393
,630,700,771,2119,661.724,322,8.6,,659.98,2.394409938,,125.606095,0.460467048,,6.580745342,780.214447,0.555281862,0.052988153,0.063898948
,,,,,,,,,,,,,,,,,,,
26,590,740,7692,12175,650.979,1501,8.6,,655.95,5.124583611,,682.899549,0.568872301,,8.111259161,792.267494,0.532749889,0.065462866,0.061306086
,600,740,7219,13408,654.205,1501,8.6,,655.95,4.80946036,,684.199774,0.576473069,,8.932711526,784.057562,0.520321565,0.066337522,0.059875899
,630,700,3566,9674,660.691,1501,8.6,,655.95,2.3757495,,125.606095,0.4613768,,6.445036642,780.214447,0.557704851,0.053092842,0.064177773
,,,,,,,,,,,,,,,,,,,
27,590,740,33567,40646,654.368,393,1,,657.96,85.41221374,,682.899549,2.078860065,,103.4249364,792.267494,2.036054352,0.183320993,0.179546239
,600,740,30916,39674,655.838,393,1,,657.96,78.66666667,,684.199774,2.163031881,,100.9516539,784.057562,2.049842089,0.190743552,0.180762089
,630,700,14771,31988,660.965,393,1,,657.96,37.58524173,,125.606095,1.206540125,,81.39440204,780.214447,2.260263835,0.106396836,0.199317798
,,,,,,,,,,,,,,,,,,,
28,590,740,13791,15954,655.179,153,1,,662,90.1372549,,682.899549,2.025015575,,104.2745098,792.267494,2.027873505,0.178572802,0.178824824
,600,740,12501,15560,656.72,153,1,,662,81.70588235,,684.199774,2.125125373,,101.6993464,784.057562,2.042462936,0.187400827,0.18011137
,630,700,6083,12675,661.541,153,1,,662,39.75816993,,125.606095,1.150336201,,82.84313725,780.214447,2.242621415,0.101440582,0.19776203
,,,,,,,,,,,,,,,,,,,
29,590,740,4191,5831,653.201,253,2,,656.96,16.56521739,,682.899549,1.859522559,,23.04743083,792.267494,1.768673578,0.163979062,0.155967688
,600,740,3946,5625,655.331,253,2,,656.96,15.59683794,,684.199774,1.890592144,,22.23320158,784.057562,1.781449048,0.166718884,0.157094272
,630,700,1656,4348,661.19,253,2,,656.96,6.545454545,,125.606095,1.47719096,,17.18577075,780.214447,1.90774481,0.130263753,0.168231465
,,,,,,,,,,,,,,,,,,,
30,590,740,4148,5565,654.613,245,2,,658.97,16.93061224,,682.899549,1.848613452,,22.71428571,792.267494,1.775953708,0.163017059,0.156609674
,600,740,3921,5382,656.667,245,2,,658.97,16.00408163,,684.199774,1.877704338,,21.96734694,784.057562,1.787463861,0.165582393,0.157624679
,630,700,2098,4205,661.838,245,2,,658.97,8.563265306,,125.606095,1.342835504,,17.16326531,780.214447,1.90840001,0.118415829,0.168289242
,,,,,,,,,,,,,,,,,,,
31,590,740,3725,5067,653.109,392,2.4,,661,9.50255102,,682.899549,1.78116265,,12.92602041,792.267494,1.714858118,0.157069017,0.151222056
,600,740,3342,4872,655.423,392,2.4,,661,8.525510204,,684.199774,1.827162509,,12.42857143,784.057562,1.72686969,0.161125442,0.152281278
,630,700,1613,3684,661.237,392,2.4,,661,4.114795918,,125.606095,1.4244016,,9.397959184,780.214447,1.841283012,0.125608607,0.162370636
,,,,,,,,,,,,,,,,,,,
32,590,740,3564,5727,653.74,445,2.4,,658.97,8.008988764,,682.899549,1.852410941,,12.86966292,792.267494,1.716678759,0.163351935,0.151382607
,600,740,3832,5501,656.116,445,2.4,,658.97,8.611235955,,684.199774,1.822993762,,12.36179775,784.057562,1.729114308,0.160757827,0.152479216
,630,700,2000,4209,661.288,445,2.4,,658.97,4.494382022,,125.606095,1.387635351,,9.458426966,780.214447,1.838610706,0.122366433,0.162134983
,,,,,,,,,,,,,,,,,,,
33,590,740,1658,2404,652.45,603,3.4,,649.9,2.749585406,,682.899549,1.622029808,,3.986733002,792.267494,1.556450159,0.143036138,0.1372531
,600,740,1295,2269,655.841,603,3.4,,649.9,2.147595357,,684.199774,1.695266189,,3.762852405,784.057562,1.570384924,0.149494373,0.138481916
,630,700,554,1557,660.465,603,3.4,,649.9,0.918739635,,125.606095,1.446443117,,2.582089552,780.214447,1.679698141,0.127552303,0.148121529
,,,,,,,,,,,,,,,,,,,
34,590,740,1217,1814,654.07,439,3.4,,642.84,2.772209567,,682.899549,1.619619647,,4.132118451,792.267494,1.545915411,0.142823602,0.13632411
,600,740,1037,1731,656.928,439,3.4,,642.84,2.362186788,,684.199774,1.667254694,,3.943052392,784.057562,1.556626723,0.147024223,0.13726867
,630,700,522,1213,660.816,439,3.4,,642.84,1.189066059,,125.606095,1.370584041,,2.76309795,780.214447,1.659770622,0.12086279,0.146364252
,,,,,,,,,,,,,,,,,,,0
1,590,770,667580,701949,683.441,886,0,,687.28,753.476298,792.2674944,,,,,,,,0
,590,740,605049,694675,682.728,886,,,687.28,682.8995485,784.0575621,,,,,,,,0
,600,740,606201,691270,683.162,886,,,687.28,684.1997743,780.214447,,,,,,,,0
,630,700,111287,490823,674.414,886,,,687.28,125.6060948,553.976298,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,
2,590,740,553776,727362,689.845,924,0,,695.37,599.3246753,787.1883117,,,,,,,,
,600,740,561073,723776,690.317,924,,,695.37,607.2218615,783.3073593,,,,,,,,
,610,770,,,,924,,,695.37,0,0,,,,,,,,
,630,700,2239,435596,677.274,924,,,695.37,2.423160173,471.4242424,,,,,,,,
,,,,,,,,,,,,,,,,,,,
35,590,740,352,1918,653.384,721,3.8,,647.88,0.488210818,,682.899549,1.906147529,,2.660194175,792.267494,1.499079946,0.168090611,0.132193999
,600,740,586,1771,658.11,721,3.8,,647.88,0.812760055,,684.199774,1.772519426,,2.45631068,784.057562,1.517322583,0.156306828,0.133802697
,630,700,292,1121,660.816,721,3.8,,647.88,0.404993065,,125.606095,1.509747362,,1.554785021,780.214447,1.636377819,0.133134688,0.144301395
,,,,,,,,,,,,,,,,,,,
36,590,740,486,1381,652.475,505,3.8,,655.93,0.962376238,,682.899549,1.727553157,,2.734653465,792.267494,1.491815308,0.152341548,0.131553378
,600,740,592,1289,656.62,505,3.8,,655.93,1.172277228,,684.199774,1.676133163,,2.552475248,784.057562,1.507216505,0.147807157,0.132911508
,630,700,286,805,659.851,505,3.8,,655.93,0.566336634,,125.606095,1.421505535,,1.594059406,780.214447,1.629812929,0.125353222,0.143722481
,,,,,,,,,,,,,,,,,,,
37,590,740,3562,7188,650.685,690,composite,,655.01,5.162318841,,682.899549,,,10.4173913,,,,
,600,740,4121,6799,653.838,690,,,655.01,5.972463768,,684.199774,,,9.853623188,,,,
,630,700,2019,5001,660.434,690,,,655.01,2.926086957,,125.606095,,,7.247826087,,,,
,,,,,,,,,,,,,,,,,,,
38,590,740,6091,10442,653.805,1133,composite,,659.98,5.375992939,,682.899549,,,9.216240071,,,,
,600,740,5274,9895,656,1133,,,659.98,4.6548985,,684.199774,,,8.733451015,,,,
,630,700,3216,7253,662.379,1133,,,659.98,2.838481906,,125.606095,,,6.401588703,,,,
,,,,,,,,,,,,,,,,,,,